model,image,psnr,ssim,mse,mae,rmse,psnr_gain,ssim_gain,mse_ratio,sharpness,sharpness_gain,fog_density,fog_reduction,colorfulness,color_gain,contrast,contrast_gain,dark_channel,entropy,lane_contrast,visibility,infer_ms
AOD-Net,foggy_road17,17.423846330355207,0.8453790019588157,1176.7812169392903,28.47765350341797,34.304244882219606,4.38671145162326,0.02718783172953676,2.745814190594753,1794.8743446730077,1268.2444380319212,0.0,0.017204188296669407,18.0174560546875,9.584753036499023,53.845813306103814,2.6302209200450335,0.21024248003959656,7.417924880981445,32.977742359981534,1.0,40.98099999828264
AOD-Net,foggy_road18,17.51741999244595,0.8569511253527263,1151.6973342895508,28.825360616048176,33.9366665170513,3.834963421557376,0.009236758894118235,2.4182229703673,1318.618412848562,910.6518762335763,0.0,0.0,18.858776092529297,10.5460786819458,55.31511190224531,8.774876073529185,0.1736135482788086,7.120965003967285,41.53813298465813,1.0,49.55830000108108
AOD-Net,foggy_road28,20.123043670597298,0.8798749476173925,632.0857416788737,20.745145161946613,25.141315432547948,4.358234818006297,0.035346768044646426,2.727868820153122,1297.54155126377,975.2664871837478,0.0,0.0,21.65445327758789,10.610815048217773,68.88473423419629,6.762706694020217,0.19124792516231537,7.125433921813965,17.252516622908406,1.0,66.70429999940097
AOD-Net,foggy_road40,16.94257584382205,0.8284194383768483,1314.6882349650066,31.17393747965495,36.25862979988359,2.877400310924269,-0.01741268902160764,1.9397244099376734,1089.682874576596,757.3466141815297,0.0,0.0,22.142423629760742,12.718069076538086,50.104079703843475,3.9778295233672765,0.20316874980926514,7.172734260559082,17.17958068562486,1.0,43.97729999618605
AOD-Net,foggy_road47,14.687976562309768,0.8424170196281321,2209.4425048828125,37.60692850748698,47.00470726302646,0.45727687472143685,-0.02464860221853349,1.1110348646746726,1004.707054111117,701.8283042637049,0.0,0.04351672925447163,20.51300811767578,11.370444297790527,58.53296767091494,11.197815199926922,0.24398179352283478,7.220306873321533,25.27508650391519,1.0,39.81639997800812
AOD-Net,foggy_road48,14.883575702074637,0.8005906130076408,2112.1404342651367,39.87516530354818,45.958029051136826,0.950430360044983,-0.07340771660587952,1.2446379418905464,650.4835219466477,497.02129948092625,0.0,0.3574463088395184,20.446935653686523,12.96597957611084,63.49515855673107,15.84322947770454,0.24258416891098022,7.15496301651001,13.734430998403914,1.0,45.47530002309941
AOD-Net,foggy_road49,17.205776151034907,0.8400720862949861,1237.3790130615234,29.4752197265625,35.176398523179195,3.312335379634664,-0.010406039254810096,2.144043231206682,723.0633402508101,494.1948439707048,0.0,0.15411825805977183,30.661605834960938,19.40950584411621,44.29871209932585,2.4670067997199894,0.14812634885311127,6.938826560974121,19.774902299819583,1.0,43.402799987234175
AOD-Net,foggy_road50,20.06326635976487,0.8815335498103285,640.8460693359375,20.136006673177082,25.314937671974178,5.121682481359951,0.03359389152658909,3.252132624393526,1712.663470371568,1245.3463554061018,0.0,0.0,18.033409118652344,9.768950462341309,71.33271646498521,6.298269402638141,0.15992504358291626,7.149957656860352,19.532819703808986,1.0,44.254699983866885
AOD-Net,foggy_road51,16.83296311510034,0.8445749073283405,1348.2922846476238,30.952232360839844,36.71909972545111,2.09763249189821,0.0021609993575451014,1.6209262265467745,1348.5632643857389,992.4536628343049,0.0,0.0,19.867008209228516,12.24377727508545,44.90210973969851,3.5570060275688604,0.15497532486915588,7.069450378417969,22.856978626830074,1.0,41.973199986387044
AOD-Net,foggy_road52,14.695514287849196,0.8009810047868567,2205.6110661824546,39.97020721435547,46.96393367449595,0.45746858978049687,-0.08399554368067652,1.1110839113066304,737.7477007487323,534.1905653009308,0.0,0.20895953986309665,21.127260208129883,12.018315315246582,45.13894729163801,10.878848643212585,0.16395500302314758,6.730949401855469,18.108230888333303,1.0,42.97499998938292
