Metric,Display Name,Higher=Better,AOD-Net_mean,GridDehazeNet_mean,AOD-Net_std,GridDehazeNet_std,Winner
psnr,PSNR (dB),True,5.213937005871608,6.136556380488584,0.5401301059870361,0.31843611726751725,GridDehazeNet
ssim,SSIM,True,0.41875793631209673,0.12501815124286206,0.07872801719540501,0.022498793458609088,AOD-Net
mse,MSE (px²),False,19727.00710920854,15870.727252729012,2477.1116779901627,1172.2002554525286,GridDehazeNet
mae,MAE (px),False,132.2156439116507,115.96047199133669,8.598512598165973,6.08994057974607,GridDehazeNet
rmse,RMSE (px),False,140.17970086599723,125.8939339350572,8.755488240416962,4.630836974507047,GridDehazeNet
psnr_gain,PSNR Gain (dB) ↑,True,-9.334280880884647,-8.411661506267672,1.0882112462409312,0.8004318040807232,GridDehazeNet
ssim_gain,SSIM Gain ↑,True,-0.4388667368249442,-0.7326065218941789,0.06962277212624154,0.016430912342825604,AOD-Net
mse_ratio,MSE Ratio (fog/out) ↑,True,0.12018706356778627,0.14657371373590095,0.029103488775933512,0.026310277073251936,GridDehazeNet
sharpness,Sharpness ↑,True,3.2362062909093727,89.96139895281269,0.874096993452379,14.759797485826226,GridDehazeNet
sharpness_gain,Sharpness Gain ↑,True,-333.84279364297095,-247.11760098106765,159.99348957724453,150.10523671641525,GridDehazeNet
fog_density,Fog Density ↓,False,0.9649816443172092,0.4550836356022392,0.004670215224456008,0.03197956121929015,GridDehazeNet
fog_reduction,Fog Reduction ↑,True,-0.8818227192410312,-0.3719247105260611,0.11090369992000028,0.10845797106593723,GridDehazeNet
colorfulness,Colorfulness ↑,True,4.478554559790569,123.56766974407694,0.36938615944086517,5.708058138110558,GridDehazeNet
color_gain,Color Gain ↑,True,-4.4818863246751866,114.60722885961118,1.3334701421446646,5.597837228185764,GridDehazeNet
contrast,Contrast ↑,True,4.3343974108331915,12.238949727736438,0.6998681161166941,2.547384179508487,GridDehazeNet
contrast_gain,Contrast Gain ↑,True,-46.20015266827986,-38.295600351376606,7.256073873518336,6.066022776035525,GridDehazeNet
dark_channel,Dark Channel ↓,False,0.9517664080080779,0.0,0.004891765907639959,0.0,GridDehazeNet
entropy,Entropy ↑,True,3.823680898417597,3.3579153081645137,0.14083576292910976,0.5516785212458308,AOD-Net
lane_contrast,Lane Contrast ↑,True,2.008980878845547,8.914278057385866,0.7933614242453684,2.973872570502833,GridDehazeNet
visibility,Visibility Depth ↑,True,1.0,1.0,0.0,0.0,—
infer_ms,Inference (ms) ↓,False,81.42507391597104,2480.8036173951973,51.79596710448714,209.49792729109802,AOD-Net
fps,FPS,True,34.484378792920076,0.8263858643286943,,,—
infer_ms,Inference ms,False,28.99863749917131,1210.088462503336,,,—
params_M,Parameters (M),False,0.002,0.847,,,—
